title,link
DRC: 4 billion dollars lost from dubious contracts with Israeli businessman (NGO),{'https://news.google.com/articles/CBMidWh0dHBzOi8vd3d3LmFmcmljYW5ld3MuY29tLzIwMjEvMDUvMTIvZHJjLTQtYmlsbGlvbi1kb2xsYXJzLWxvc3QtZnJvbS1kdWJpb3VzLWNvbnRyYWN0cy13aXRoLWlzcmFlbGktYnVzaW5lc3NtYW4tbmdvL9IBeWh0dHBzOi8vd3d3LmFmcmljYW5ld3MuY29tL2FtcC8yMDIxLzA1LzEyL2RyYy00LWJpbGxpb24tZG9sbGFycy1sb3N0LWZyb20tZHViaW91cy1jb250cmFjdHMtd2l0aC1pc3JhZWxpLWJ1c2luZXNzbWFuLW5nby8?hl=en-KE&gl=KE&ceid=KE%3Aen'}
"Intimidation, Threats Against Congolese Whistleblower",{'https://news.google.com/articles/CBMiWGh0dHBzOi8vd3d3Lmhydy5vcmcvbmV3cy8yMDIxLzA4LzAyL2ludGltaWRhdGlvbi10aHJlYXRzLWFnYWluc3QtY29uZ29sZXNlLXdoaXN0bGVibG93ZXLSAQA?hl=en-KE&gl=KE&ceid=KE%3Aen'}
Why do DRC citizens report such high levels of corruption?,{'https://news.google.com/articles/CBMiZmh0dHBzOi8vdm9pY2VzLnRyYW5zcGFyZW5jeS5vcmcvd2h5LWRvLWRyYy1jaXRpemVucy1yZXBvcnQtc3VjaC1oaWdoLWxldmVscy1vZi1jb3JydXB0aW9uLTU1NGZhZTBkMjIxM9IBAA?hl=en-KE&gl=KE&ceid=KE%3Aen'}
Former Congo PM has immunity lifted over corruption allegations,{'https://news.google.com/articles/CBMicGh0dHBzOi8vd3d3LnJldXRlcnMuY29tL3dvcmxkL2FmcmljYS9mb3JtZXItY29uZ28tcG0taGFzLWltbXVuaXR5LWxpZnRlZC1vdmVyLWNvcnJ1cHRpb24tYWxsZWdhdGlvbnMtMjAyMS0wNy0wNS_SAQA?hl=en-KE&gl=KE&ceid=KE%3Aen'}
"United Arab Emirates a go-to offshore haven for Africa's political and business elite, leaked records show",{'https://news.google.com/articles/CAIiEDKFFpsBlDhoN9o9X4DwTIYqGQgEKhAIACoHCAow3e2TCzDU9KgDMNHqwAY?uo=CAUinAFodHRwczovL3d3dy5pY2lqLm9yZy9pbnZlc3RpZ2F0aW9ucy9wYW5kb3JhLXBhcGVycy91bml0ZWQtYXJhYi1lbWlyYXRlcy1hLWdvLXRvLW9mZnNob3JlLWhhdmVuLWZvci1hZnJpY2FzLXBvbGl0aWNhbC1hbmQtYnVzaW5lc3MtZWxpdGUtbGVha2VkLXJlY29yZHMtc2hvdy_SAQA&hl=en-KE&gl=KE&ceid=KE%3Aen'}
The corporate world’s race to net-zero hinges on tiny villages in the DR Congo,{'https://news.google.com/articles/CBMiXmh0dHBzOi8vZm9ydHVuZS5jb20vMjAyMS8xMS8yNy9kci1jb25nby1yYWluZm9yZXN0cy1uZXQtemVyby1kZWx0YS1ldHN5LWNoYW5lbC1jbGltYXRlLWNoYW5nZS_SAWJodHRwczovL2ZvcnR1bmUuY29tLzIwMjEvMTEvMjcvZHItY29uZ28tcmFpbmZvcmVzdHMtbmV0LXplcm8tZGVsdGEtZXRzeS1jaGFuZWwtY2xpbWF0ZS1jaGFuZ2UvYW1wLw?hl=en-KE&gl=KE&ceid=KE%3Aen'}
"'Conflict, corruption result in deindustrialization of Congo'",{'https://news.google.com/articles/CBMiY2h0dHBzOi8vbS55ZW5pc2FmYWsuY29tL2VuL3dvcmxkL2NvbmZsaWN0LWNvcnJ1cHRpb24tcmVzdWx0LWluLWRlaW5kdXN0cmlhbGl6YXRpb24tb2YtY29uZ28tMzU4MDA4OdIBAA?hl=en-KE&gl=KE&ceid=KE%3Aen'}
"Africa needs survival, not democracy summit – Zambia Daily Mail",{'https://news.google.com/articles/CBMiR2h0dHA6Ly93d3cuZGFpbHktbWFpbC5jby56bS9hZnJpY2EtbmVlZHMtc3Vydml2YWwtbm90LWRlbW9jcmFjeS1zdW1taXQv0gEA?hl=en-KE&gl=KE&ceid=KE%3Aen'}
DR Congo auditor accuses governor of siphoning off $8.7 mn,{'https://news.google.com/articles/CBMiWWh0dHBzOi8vZXduLmNvLnphLzIwMjEvMDgvMjUvZHItY29uZ28tYXVkaXRvci1hY2N1c2VzLWdvdmVybm9yLW9mLXNpcGhvbmluZy1vZmYtdXNkOC03LW1u0gFdaHR0cHM6Ly9ld24uY28uemEvMjAyMS8wOC8yNS9kci1jb25nby1hdWRpdG9yLWFjY3VzZXMtZ292ZXJub3Itb2Ytc2lwaG9uaW5nLW9mZi11c2Q4LTctbW4vYW1w?hl=en-KE&gl=KE&ceid=KE%3Aen'}
"U.S.-DRC Partner to Combat Corruption, Fight Impunity, and Improve Security",{'https://news.google.com/articles/CBMiaGh0dHBzOi8vY2QudXNlbWJhc3N5Lmdvdi91cy1kcmMtcGFydG5lci10by1jb21iYXQtY29ycnVwdGlvbi1maWdodC1pbXB1bml0eS1hbmQtaW1wcm92ZS1zZWN1cml0eS0wODAzMjEv0gEA?hl=en-KE&gl=KE&ceid=KE%3Aen'}
YouTube asked to remove fake channel targeting Congolese anti-corruption groups,{'https://news.google.com/articles/CBMic2h0dHBzOi8vYWZyaWNhdGltZXMuY29tLzIwMjEvMDIvMjgveW91dHViZS1hc2tlZC10by1yZW1vdmUtZmFrZS1jaGFubmVsLXRhcmdldGluZy1jb25nb2xlc2UtYW50aS1jb3JydXB0aW9uLWdyb3Vwcy_SAQA?hl=en-KE&gl=KE&ceid=KE%3Aen'}
US Court Dismissed Cobalt Mining Forced Labor Lawsuit Against Tech Companies,{'https://news.google.com/articles/CBMifWh0dHBzOi8vd3d3Lmdsb2JhbGNvbXBsaWFuY2VuZXdzLmNvbS8yMDIxLzExLzI2L3VzLWNvdXJ0LWRpc21pc3NlZC1jb2JhbHQtbWluaW5nLWZvcmNlZC1sYWJvci1sYXdzdWl0LWFnYWluc3QtdGVjaC1jb21wYW5pZXMv0gEA?hl=en-KE&gl=KE&ceid=KE%3Aen'}
Congo-Kinshasa: World Bank Suspends School Funding in DR Congo Over Fraud,{'https://news.google.com/articles/CAIiEN1mrxYVgVFJ1vGlS7YuYUYqFwgEKg4IACoGCAowpa8mMJL_BTDG698G?uo=CAUiL2h0dHBzOi8vYWxsYWZyaWNhLmNvbS9zdG9yaWVzLzIwMjEwMjAyMDU3NS5odG1s0gEA&hl=en-KE&gl=KE&ceid=KE%3Aen'}
"Congo's $6 bln China mining deal 'unconscionable', says draft report",{'https://news.google.com/articles/CBMibGh0dHBzOi8vd3d3LnJldXRlcnMuY29tL2J1c2luZXNzL2Nvbmdvcy02LWJsbi1jaGluYS1taW5pbmctZGVhbC11bmNvbnNjaW9uYWJsZS1zYXlzLWRyYWZ0LXJlcG9ydC0yMDIxLTEwLTA4L9IBAA?hl=en-KE&gl=KE&ceid=KE%3Aen'}
The Democratic Republic of Congo is Back on the Front Page,{'https://news.google.com/articles/CBMiQmh0dHBzOi8vd3d3LmNmci5vcmcvYmxvZy9kZW1vY3JhdGljLXJlcHVibGljLWNvbmdvLWJhY2stZnJvbnQtcGFnZdIBRmh0dHBzOi8vd3d3LmNmci5vcmcvYmxvZy9kZW1vY3JhdGljLXJlcHVibGljLWNvbmdvLWJhY2stZnJvbnQtcGFnZT9hbXA?hl=en-KE&gl=KE&ceid=KE%3Aen'}
U.K. Fraud Unit Finds Alleged Bribe Network Behind Cobalt Hub,{'https://news.google.com/articles/CAIiEB6boSRg0T0c45SQlsAWAZEqGQgEKhAIACoHCAow4uzwCjCF3bsCMIrOrwM?uo=CAUib2h0dHBzOi8vd3d3LmJsb29tYmVyZy5jb20vbmV3cy9hcnRpY2xlcy8yMDIxLTA3LTE1L3Utay1mcmF1ZC11bml0LWZpbmRzLWJyaWJlLW5ldHdvcmstYmVoaW5kLXdvcmxkLXMtY29iYWx0LWh1YtIBAA&hl=en-KE&gl=KE&ceid=KE%3Aen'}
DR Congo: Quash Whistleblowers' Death Sentences,{'https://news.google.com/articles/CBMiUWh0dHBzOi8vd3d3Lmhydy5vcmcvbmV3cy8yMDIxLzAzLzA5L2RyLWNvbmdvLXF1YXNoLXdoaXN0bGVibG93ZXJzLWRlYXRoLXNlbnRlbmNlc9IBAA?hl=en-KE&gl=KE&ceid=KE%3Aen'}
Why payroll fraud in the DRC's education sector will be hard to fix,{'https://news.google.com/articles/CBMiZWh0dHBzOi8vdGhlY29udmVyc2F0aW9uLmNvbS93aHktcGF5cm9sbC1mcmF1ZC1pbi10aGUtZHJjcy1lZHVjYXRpb24tc2VjdG9yLXdpbGwtYmUtaGFyZC10by1maXgtMTYyMjU30gFpaHR0cHM6Ly90aGVjb252ZXJzYXRpb24uY29tL2FtcC93aHktcGF5cm9sbC1mcmF1ZC1pbi10aGUtZHJjcy1lZHVjYXRpb24tc2VjdG9yLXdpbGwtYmUtaGFyZC10by1maXgtMTYyMjU3?hl=en-KE&gl=KE&ceid=KE%3Aen'}
"Acting Assistant Secretary Peterson reiterates U.S. support for human rights, democracy and anti-corruption efforts in DRC during Kinshasa visit",{'https://news.google.com/articles/CBMiqAFodHRwczovL2NkLnVzZW1iYXNzeS5nb3YvYWN0aW5nLWFzc2lzdGFudC1zZWNyZXRhcnktcGV0ZXJzb24tcmVpdGVyYXRlcy11LXMtc3VwcG9ydC1mb3ItaHVtYW4tcmlnaHRzLWRlbW9jcmFjeS1hbmQtYW50aS1jb3JydXB0aW9uLWVmZm9ydHMtaW4tZHJjLWR1cmluZy1raW5zaGFzYS12aXNpdC_SAQA?hl=en-KE&gl=KE&ceid=KE%3Aen'}
Our Best Reads of the Week,{'https://news.google.com/articles/CAIiEA2P3SjQgfRyLLdpdOy42-YqGQgEKhAIACoHCAow4uzwCjCF3bsCMIrOrwM?uo=CAUiUGh0dHBzOi8vd3d3LmJsb29tYmVyZy5jb20vbmV3cy9uZXdzbGV0dGVycy8yMDIxLTEyLTAzL291ci1iZXN0LXJlYWRzLW9mLXRoZS13ZWVr0gEA&hl=en-KE&gl=KE&ceid=KE%3Aen'}
A Criminal State: Understanding and Countering Institutionalized Corruption and Violence in the Democratic Republic of Congo - Democratic Republic of the Congo,{'https://news.google.com/articles/CBMidGh0dHBzOi8vcmVsaWVmd2ViLmludC9yZXBvcnQvZGVtb2NyYXRpYy1yZXB1YmxpYy1jb25nby9jcmltaW5hbC1zdGF0ZS11bmRlcnN0YW5kaW5nLWFuZC1jb3VudGVyaW5nLWluc3RpdHV0aW9uYWxpemVk0gEA?hl=en-KE&gl=KE&ceid=KE%3Aen'}
